"本実験では、参加者の方には架空のシナリオを体験していただきました。これから、そのストーリーにおける、対話ロボットや対話ロボットの制作者への印象等を評価してもらいます。
以上の内容をご確認いただけた方は「はい」を選択し、次ページにお進みください。",続いて、任務に失敗した責任の程度についてお聞きします。あなたが任務に失敗したのは [Sotaの責任だと思いますか？],続いて、任務に失敗した責任の程度についてお聞きします。あなたが任務に失敗したのは [M.O.の責任だと思いますか？],続いて、任務に失敗した責任の程度についてお聞きします。あなたが任務に失敗したのは [あなたの責任だと思いますか？],Sotaは以下の項目をどの程度できると思いますか。  [意識を持つこと],Sotaは以下の項目をどの程度できると思いますか。  [個性を持つこと],Sotaは以下の項目をどの程度できると思いますか。  [プライドを持つこと],Sotaは以下の項目をどの程度できると思いますか。  [願望を抱くこと],Sotaは以下の項目をどの程度できると思いますか。  [楽しむこと],Sotaは以下の項目をどの程度できると思いますか。  [記憶すること],Sotaは以下の項目をどの程度できると思いますか。  [道徳的であること],Sotaは以下の項目をどの程度できると思いますか。  [自制すること],Sotaは以下の項目をどの程度できると思いますか。  [コミュニケーションすること],Sotaは以下の項目をどの程度できると思いますか。  [計画すること],Sotaは以下の項目をどの程度できると思いますか。  [思考すること],Sotaは以下の項目をどの程度できると思いますか。  [感情を認識すること],Sotaは以下の項目をどの程度できると思いますか。  [喜ぶこと],Sotaは以下の項目をどの程度できると思いますか。  [苦痛を感じること],Sotaは以下の項目をどの程度できると思いますか。  [恐怖を感じること],Sotaは以下の項目をどの程度できると思いますか。  [空腹を感じること],Sotaは以下の項目をどの程度できると思いますか。  [怒りを感じること],Sotaは以下の項目をどの程度できると思いますか。  [困惑すること],Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,M.O.に対する印象として最も当てはまるものを選択してください。 [私はM.O.さんと一緒にいる時、ほとんどいつも同じ気分になる。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんはとても適応力のある人だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんは責任ある仕事に推薦できる人物だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [私はM.O.さんをとてもよくできた人だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんの判断の良さには全面の信頼を置いている],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんと知り合いになれば、すぐにM.Oさんを好きになると思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんと私はお互いにとてもよく似ていると思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [クラスやグループで選挙があれば私はM.O.さんに投票するつもりだ。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんはみんなから尊敬されるような人物だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんはとても知的な人だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんは私の知り合いの中で最も好ましい人物だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [私はM.O.さんのような人物になりたいと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんは賞賛の的になりやすい人物だと思う。]
はい,どちらかといえばそう思わない,どちらかといえばそう思う,そう思う,どちらかといえばよくできる,よくできる,どちらかといえばよくできる,どちらともいえない,よくできる,非常によくできる,非常によくできる,どちらかといえばできない,よくできる,よくできる,よくできる,よくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらともいえない,どちらともいえない,よくできる,4,5,5,4,5,どちらでもない,どちらでもない,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらかといえばそう思う,そう思う,どちらかといえばそう思う,どちらでもない,どちらかといえばそう思う
はい,どちらともいえない,そう思う,どちらかといえばそう思う,どちらかといえばできない,よくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらともいえない,非常によくできる,どちらかといえばよくできる,よくできる,どちらかといえばよくできる,どちらかといえばよくできる,よくできる,どちらかといえばできない,どちらともいえない,どちらかといえばできない,どちらかといえばできない,どちらかといえばできない,どちらかといえばできない,どちらかといえばよくできる,5,5,5,5,4,どちらでもない,どちらかといえばそう思わない,どちらでもない,どちらかといえばそう思わない,そう思わない,どちらでもない,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらでもない,どちらかといえばそう思う,そう思わない,どちらかといえばそう思わない,どちらかといえばそう思う
はい,どちらかといえばそう思わない,そう思う,非常にそう思う,よくできる,よくできる,できない,どちらかといえばよくできる,よくできる,非常によくできる,非常によくできる,よくできる,非常によくできる,非常によくできる,非常によくできる,よくできる,よくできる,どちらかといえばよくできる,どちらかといえばよくできる,全くできない,どちらかといえばよくできる,非常によくできる,5,5,5,4,5,どちらかといえばそう思わない,そう思う,どちらかといえばそう思う,そう思う,どちらかといえばそう思う,どちらかといえばそう思わない,全くそう思わない,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思う,そう思わない,どちらかといえばそう思う,どちらかといえばそう思わない
はい,全くそう思わない,そう思う,どちらかといえばそう思う,どちらかといえばよくできる,よくできる,どちらかといえばできない,どちらかといえばできない,どちらかといえばよくできる,非常によくできる,非常によくできる,よくできる,非常によくできる,非常によくできる,非常によくできる,非常によくできる,よくできる,できない,できない,全くできない,できない,よくできる,5,5,5,4,5,非常にそう思う,どちらかといえばそう思わない,そう思わない,そう思わない,そう思わない,全くそう思わない,そう思わない,全くそう思わない,全くそう思わない,どちらかといえばそう思わない,全くそう思わない,全くそう思わない,全くそう思わない
はい,全くそう思わない,どちらかといえばそう思う,そう思う,よくできる,どちらかといえばよくできる,どちらともいえない,どちらともいえない,よくできる,非常によくできる,できない,どちらかといえばよくできる,よくできる,よくできる,よくできる,よくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばできない,よくできる,よくできる,よくできる,3,2,4,2,2,どちらかといえばそう思わない,そう思わない,どちらかといえばそう思わない,そう思わない,どちらかといえばそう思わない,どちらでもない,どちらでもない,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらかといえばそう思う,そう思わない,どちらでもない,どちらかといえばそう思う
はい,どちらかといえばそう思わない,非常にそう思う,そう思う,どちらかといえばよくできる,どちらともいえない,どちらかといえばよくできる,どちらかといえばよくできる,どちらともいえない,非常によくできる,非常によくできる,どちらともいえない,どちらかといえばよくできる,どちらかといえばよくできる,非常によくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばよくできる,全くできない,どちらともいえない,非常によくできる,2,3,4,2,2,どちらでもない,そう思わない,全くそう思わない,そう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,そう思わない,全くそう思わない,全くそう思わない,そう思わない
はい,どちらかといえばそう思わない,そう思う,どちらかといえばそう思う,どちらともいえない,どちらかといえばできない,どちらともいえない,どちらともいえない,どちらかといえばよくできる,よくできる,どちらともいえない,どちらかといえばよくできる,どちらかといえばよくできる,よくできる,よくできる,どちらかといえばできない,どちらかといえばよくできる,どちらかといえばできない,できない,全くできない,できない,どちらかといえばよくできる,4,4,4,3,4,どちらでもない,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらかといえばそう思う,そう思わない,どちらかといえばそう思わない,そう思わない,どちらかといえばそう思わない,どちらでもない,そう思う,全くそう思わない,どちらでもない,どちらでもない
はい,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばよくできる,よくできる,できない,どちらかといえばよくできる,どちらかといえばできない,よくできる,どちらかといえばできない,よくできる,非常によくできる,非常によくできる,よくできる,どちらかといえばよくできる,どちらかといえばできない,できない,できない,全くできない,全くできない,よくできる,4,4,5,4,4,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,どちらかといえばそう思う,どちらかといえばそう思う,そう思う,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらかといえばそう思う
はい,どちらかといえばそう思う,非常にそう思う,全くそう思わない,どちらかといえばよくできる,全くできない,全くできない,全くできない,全くできない,非常によくできる,どちらかといえばよくできる,どちらともいえない,よくできる,非常によくできる,どちらともいえない,よくできる,全くできない,全くできない,全くできない,全くできない,全くできない,できない,4,4,2,3,3,全くそう思わない,どちらかといえばそう思わない,そう思わない,どちらかといえばそう思わない,全くそう思わない,どちらでもない,全くそう思わない,そう思わない,全くそう思わない,どちらかといえばそう思う,全くそう思わない,そう思わない,そう思わない
はい,どちらかといえばそう思わない,そう思う,非常にそう思う,できない,できない,どちらともいえない,よくできる,どちらかといえばよくできる,非常によくできる,どちらかといえばよくできる,どちらかといえばよくできる,非常によくできる,どちらかといえばよくできる,よくできる,よくできる,どちらかといえばよくできる,どちらかといえばできない,どちらかといえばよくできる,できない,どちらかといえばよくできる,よくできる,4,5,5,5,5,どちらでもない,そう思わない,全くそう思わない,そう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,そう思わない,どちらでもない,全くそう思わない,全くそう思わない,そう思わない
