"本実験では、参加者の方には架空のシナリオを体験していただきました。これから、そのストーリーにおける、対話ロボットや対話ロボットの制作者への印象等を評価してもらいます。
以上の内容をご確認いただけた方は「はい」を選択し、次ページにお進みください。",続いて、任務に失敗した責任の程度についてお聞きします。あなたが任務に失敗したのは [Sotaの責任だと思いますか？],続いて、任務に失敗した責任の程度についてお聞きします。あなたが任務に失敗したのは [M.O.の責任だと思いますか？],続いて、任務に失敗した責任の程度についてお聞きします。あなたが任務に失敗したのは [あなたの責任だと思いますか？],Sotaは以下の項目をどの程度できると思いますか。  [意識を持つこと],Sotaは以下の項目をどの程度できると思いますか。  [個性を持つこと],Sotaは以下の項目をどの程度できると思いますか。  [プライドを持つこと],Sotaは以下の項目をどの程度できると思いますか。  [願望を抱くこと],Sotaは以下の項目をどの程度できると思いますか。  [楽しむこと],Sotaは以下の項目をどの程度できると思いますか。  [記憶すること],Sotaは以下の項目をどの程度できると思いますか。  [道徳的であること],Sotaは以下の項目をどの程度できると思いますか。  [自制すること],Sotaは以下の項目をどの程度できると思いますか。  [コミュニケーションすること],Sotaは以下の項目をどの程度できると思いますか。  [計画すること],Sotaは以下の項目をどの程度できると思いますか。  [思考すること],Sotaは以下の項目をどの程度できると思いますか。  [感情を認識すること],Sotaは以下の項目をどの程度できると思いますか。  [喜ぶこと],Sotaは以下の項目をどの程度できると思いますか。  [苦痛を感じること],Sotaは以下の項目をどの程度できると思いますか。  [恐怖を感じること],Sotaは以下の項目をどの程度できると思いますか。  [空腹を感じること],Sotaは以下の項目をどの程度できると思いますか。  [怒りを感じること],Sotaは以下の項目をどの程度できると思いますか。  [困惑すること],Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,Sotaに対する印象であてはまるものを選んでください。,M.O.に対する印象として最も当てはまるものを選択してください。 [私はM.O.さんと一緒にいる時、ほとんどいつも同じ気分になる。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんはとても適応力のある人だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんは責任ある仕事に推薦できる人物だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [私はM.O.さんをとてもよくできた人だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんの判断の良さには全面の信頼を置いている],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんと知り合いになれば、すぐにM.Oさんを好きになると思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんと私はお互いにとてもよく似ていると思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [クラスやグループで選挙があれば私はM.O.さんに投票するつもりだ。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんはみんなから尊敬されるような人物だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんはとても知的な人だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんは私の知り合いの中で最も好ましい人物だと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [私はM.O.さんのような人物になりたいと思う。],M.O.に対する印象として最も当てはまるものを選択してください。 [M.O.さんは賞賛の的になりやすい人物だと思う。]
はい,どちらかといえばそう思う,そう思う,どちらかといえばそう思う,どちらかといえばよくできる,よくできる,よくできる,よくできる,どちらかといえばよくできる,非常によくできる,どちらかといえばできない,どちらかといえばできない,よくできる,よくできる,非常によくできる,どちらかといえばできない,どちらかといえばよくできる,どちらかといえばできない,どちらかといえばできない,できない,どちらかといえばよくできる,どちらかといえばよくできる,4,4,4,3,4,どちらでもない,どちらかといえばそう思う,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらでもない,どちらでもない,どちらかといえばそう思う,そう思わない,どちらでもない,どちらかといえばそう思う
はい,そう思う,そう思う,そう思わない,よくできる,よくできる,よくできる,よくできる,どちらともいえない,非常によくできる,どちらかといえばよくできる,よくできる,非常によくできる,よくできる,非常によくできる,どちらかといえばよくできる,非常によくできる,よくできる,どちらかといえばよくできる,全くできない,どちらかといえばよくできる,よくできる,4,4,2,4,4,どちらかといえばそう思わない,どちらかといえばそう思わない,そう思わない,そう思わない,そう思わない,全くそう思わない,全くそう思わない,そう思わない,全くそう思わない,そう思う,全くそう思わない,そう思わない,そう思わない
はい,そう思わない,どちらかといえばそう思わない,非常にそう思う,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばよくできる,非常によくできる,どちらかといえばよくできる,どちらともいえない,非常によくできる,非常によくできる,非常によくできる,非常によくできる,非常によくできる,どちらともいえない,どちらかといえばよくできる,全くできない,全くできない,どちらかといえばよくできる,全くできない,非常によくできる,5,5,5,5,5,どちらかといえばそう思う,非常にそう思う,非常にそう思う,非常にそう思う,どちらかといえばそう思う,そう思う,どちらでもない,どちらかといえばそう思う,どちらかといえばそう思う,非常にそう思う,どちらかといえばそう思う,どちらかといえばそう思う,非常にそう思う
はい,どちらかといえばそう思う,非常にそう思う,そう思う,できない,できない,できない,できない,どちらかといえばよくできる,できない,できない,できない,どちらかといえばよくできる,できない,どちらかといえばよくできる,どちらともいえない,どちらともいえない,できない,できない,できない,できない,できない,4,4,5,4,5,全くそう思わない,そう思わない,そう思わない,どちらかといえばそう思わない,どちらかといえばそう思わない,全くそう思わない,そう思わない,全くそう思わない,そう思わない,どちらかといえばそう思う,全くそう思わない,全くそう思わない,全くそう思わない
はい,どちらかといえばそう思う,そう思わない,そう思う,どちらかといえばできない,どちらかといえばよくできる,よくできる,できない,どちらかといえばよくできる,非常によくできる,よくできる,できない,非常によくできる,どちらかといえばできない,どちらかといえばできない,どちらともいえない,どちらかといえばよくできる,できない,全くできない,できない,どちらともいえない,よくできる,4,5,5,4,5,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思わない,どちらかといえばそう思わない,どちらでもない,そう思わない,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思わない,そう思わない,どちらでもない,どちらかといえばそう思わない
はい,そう思わない,そう思う,そう思う,どちらともいえない,できない,できない,できない,よくできる,よくできる,どちらかといえばよくできる,できない,よくできる,よくできる,どちらかといえばよくできる,できない,よくできる,できない,できない,できない,どちらともいえない,よくできる,5,5,4,5,5,そう思う,どちらでもない,そう思わない,そう思う,そう思わない,そう思わない,そう思う,そう思わない,そう思う,そう思う,そう思わない,そう思わない,どちらでもない
はい,全くそう思わない,非常にそう思う,どちらともいえない,全くできない,よくできる,全くできない,全くできない,全くできない,どちらかといえばよくできる,どちらともいえない,全くできない,よくできる,全くできない,どちらともいえない,全くできない,全くできない,全くできない,全くできない,全くできない,全くできない,全くできない,4,4,3,3,4,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,どちらでもない,全くそう思わない,全くそう思わない,全くそう思わない
はい,どちらかといえばそう思う,そう思う,そう思う,どちらともいえない,よくできる,どちらかといえばよくできる,よくできる,よくできる,よくできる,どちらかといえばできない,どちらかといえばよくできる,よくできる,どちらかといえばよくできる,どちらかといえばよくできる,非常によくできる,よくできる,どちらともいえない,できない,全くできない,どちらともいえない,よくできる,3,4,5,2,3,そう思う,そう思う,どちらかといえばそう思う,そう思う,どちらかといえばそう思わない,どちらでもない,そう思わない,どちらでもない,そう思わない,非常にそう思う,そう思わない,そう思わない,どちらかといえばそう思わない
はい,そう思わない,非常にそう思う,どちらかといえばそう思う,よくできる,非常によくできる,非常によくできる,どちらかといえばよくできる,どちらかといえばよくできる,よくできる,どちらかといえばできない,どちらかといえばできない,よくできる,どちらかといえばできない,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらかといえばできない,どちらかといえばできない,できない,どちらかといえばできない,どちらかといえばよくできる,4,4,3,5,4,どちらかといえばそう思わない,そう思わない,そう思わない,どちらかといえばそう思わない,そう思わない,どちらかといえばそう思わない,どちらかといえばそう思わない,そう思わない,どちらでもない,どちらでもない,そう思わない,どちらかといえばそう思わない,どちらでもない
はい,そう思わない,非常にそう思う,全くそう思わない,できない,非常によくできる,全くできない,全くできない,どちらともいえない,どちらともいえない,非常によくできる,非常によくできる,どちらかといえばよくできる,どちらかといえばよくできる,どちらともいえない,どちらかといえばできない,どちらともいえない,全くできない,全くできない,全くできない,全くできない,全くできない,5,5,2,5,5,どちらかといえばそう思わない,どちらかといえばそう思う,どちらかといえばそう思わない,どちらでもない,全くそう思わない,そう思わない,全くそう思わない,そう思わない,どちらでもない,どちらかといえばそう思う,全くそう思わない,どちらでもない,そう思う
